"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Environment","Description","Votes"
"FTJ2023-845","Functional Testing June 2023","Star","Strawberry-меню: Функция Active показывает все таски","Andrei Pomakho","15 Aug 2023 23:03","15 Aug 2023 23:03",,"Critical","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**Pre-conditions:**

1. Открыть приложение TO-DO-MVP
2. Создать несколько задач, одну отметить выполненной



**STR:**

1. Тапнуть по иконке Strawberry-меню
2. Выбрать функцию Active



**ACT:**

Выводится сортировка ""All TO-DOs""



**EXP:**

Выводится сортировка ""Active TO-DOs""","0"
"FTJ2023-835","Functional Testing June 2023","Star","Mobile App Testing - Andrei Pamakha","Andrei Pomakho","15 Aug 2023 21:31","15 Aug 2023 23:03",,"Normal","Task","Open","Unassigned","Unscheduled","No environment",,"0"
"FTJ2023-836","Functional Testing June 2023","Star","New TO-DO: перезапуск приложения с удалением ранее созданных задач при вводе цифр в поле Title","Andrei Pomakho","15 Aug 2023 22:15","15 Aug 2023 22:52",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Заполнить поле заголовка числами, а поле описания латиницей
4. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач



**EXP:**

Появляется сообщение об успешном создании таски. Происходит возврат на страницу TO-DO-List где находится созданная задача


","0"
"FTJ2023-837","Functional Testing June 2023","Star","New TO-DO: перезапуск приложения с удалением ранее созданных задач при вводе цифр в поле Enter your TO-DO here","Andrei Pomakho","15 Aug 2023 22:18","15 Aug 2023 22:51",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Заполнить поле заголовка латиницей, а поле описания числами
4. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач

**EXP:**

Появляется сообщение об успешном создании таски. Происходит возврат на страницу TO-DO-List где находится созданная задача","0"
"FTJ2023-838","Functional Testing June 2023","Star","New TO-DO: перезапуск приложения с удалением ранее созданных задач при вводе спецсимволов в поле Title","Andrei Pomakho","15 Aug 2023 22:21","15 Aug 2023 22:51",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Заполнить поле заголовка спецсимволами
4. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач

**EXP:**

Появляется сообщение об успешном создании таски. Происходит возврат на страницу TO-DO-List где находится созданная задача


","0"
"FTJ2023-839","Functional Testing June 2023","Star","New TO-DO: перезапуск приложения с удалением ранее созданных задач при вводе спецсимволов в поле Enter your TO-DO here","Andrei Pomakho","15 Aug 2023 22:23","15 Aug 2023 22:51",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Заполнить поле описания спецсимволами
4. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач

**EXP:**

Появляется сообщение об успешном создании таски. Происходит возврат на страницу TO-DO-List где находится созданная задача","0"
"FTJ2023-840","Functional Testing June 2023","Star","New TO-DO: нет возможности вернуться назад при нажатии системной кнопки назад или стрелочки на AppBar","Andrei Pomakho","15 Aug 2023 22:28","15 Aug 2023 22:51",,"Critical","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Тапнуть по иконке стрелки назад в AppBar

**ACT:** нет возможности вернуться назад при нажатии системной кнопки назад или стрелочки на AppBar



**EXP:** При наличии заполненных полей появляется сообщение ""All unsaved information will be lost. Do you want to proceed?"" с возможностью подтвердить отмену создания таски.
Возврат на страницу TO-DO-List","0"
"FTJ2023-841","Functional Testing June 2023","Star","New TO-DO: создание таски с пустыми полями приводит к перезапуску приложения с удалением ранее созданных задач","Andrei Pomakho","15 Aug 2023 22:33","15 Aug 2023 22:50",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач

**EXP:**

Появляется сообщение об ошибке говорящее о необходимости заполнения хотя бы одного поля","0"
"FTJ2023-842","Functional Testing June 2023","Star","New TO-DO: перезапуск приложения с удалением ранее созданных задач при вводе большого кол-ва символов в любое из полей","Andrei Pomakho","15 Aug 2023 22:37","15 Aug 2023 22:50",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","Vivo Y33s Android 13 Funtouch OS 13 Global","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Заполнить одно из полей более чем 50-ю символами
4. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач

**EXP:**

Появляется сообщение об успешном создании таски. Происходит возврат на страницу TO-DO-List где находится созданная задача","0"
"FTJ2023-843","Functional Testing June 2023","Star","New TO-DO: перезапуск приложения с удалением ранее созданных задач при вставке текста из буфера обмена в любое поле","Andrei Pomakho","15 Aug 2023 22:42","15 Aug 2023 22:50",,"Show-stopper","Bug","Open","Unassigned","Unscheduled","No environment","**STR:**

1. Открыть приложение TO-DO-MVP
2. Тапнуть по иконке создания таски в правом нижнем углу
3. Вставить текст из буфера обмена в любое из полей
4. Тапнуть по иконке галочки в правом нижнем углу

**ACT:**

Перезапуск приложения с удалением ранее созданных задач

**EXP:**

Появляется сообщение об успешном создании таски. Происходит возврат на страницу TO-DO-List где находится созданная задача","0"
